Category: All categories,
,
Month,data science: (Worldwide)
2004-01,22
2004-02,22
2004-03,25
2004-04,21
2004-05,16
2004-06,16
2004-07,14
2004-08,16
2004-09,20
2004-10,22
2004-11,17
2004-12,17
2005-01,20
2005-02,13
2005-03,18
2005-04,15
2005-05,13
2005-06,15
2005-07,12
2005-08,14
2005-09,13
2005-10,13
2005-11,14
2005-12,11
2006-01,15
2006-02,13
2006-03,15
2006-04,13
2006-05,12
2006-06,10
2006-07,10
2006-08,10
2006-09,12
2006-10,12
2006-11,13
2006-12,8
2007-01,11
2007-02,11
2007-03,10
2007-04,9
2007-05,10
2007-06,12
2007-07,10
2007-08,9
2007-09,12
2007-10,12
2007-11,12
2007-12,9
2008-01,13
2008-02,13
2008-03,11
2008-04,12
2008-05,10
2008-06,8
2008-07,10
2008-08,9
2008-09,12
2008-10,11
2008-11,11
2008-12,9
2009-01,12
2009-02,11
2009-03,12
2009-04,10
2009-05,10
2009-06,10
2009-07,9
2009-08,9
2009-09,15
2009-10,13
2009-11,12
2009-12,11
2010-01,13
2010-02,12
2010-03,12
2010-04,12
2010-05,11
2010-06,10
2010-07,9
2010-08,10
2010-09,13
2010-10,11
2010-11,12
2010-12,10
2011-01,13
2011-02,12
2011-03,11
2011-04,11
2011-05,11
2011-06,10
2011-07,8
2011-08,11
2011-09,15
2011-10,13
2011-11,13
2011-12,11
2012-01,13
2012-02,14
2012-03,12
2012-04,13
2012-05,12
2012-06,11
2012-07,10
2012-08,13
2012-09,19
2012-10,15
2012-11,16
2012-12,13
2013-01,16
2013-02,15
2013-03,15
2013-04,17
2013-05,17
2013-06,15
2013-07,15
2013-08,17
2013-09,23
2013-10,21
2013-11,21
2013-12,19
2014-01,24
2014-02,24
2014-03,24
2014-04,24
2014-05,24
2014-06,24
2014-07,24
2014-08,30
2014-09,35
2014-10,32
2014-11,32
2014-12,29
2015-01,36
2015-02,35
2015-03,36
2015-04,37
2015-05,37
2015-06,38
2015-07,37
2015-08,45
2015-09,51
2015-10,49
2015-11,47
2015-12,42
2016-01,50
2016-02,51
2016-03,50
2016-04,51
2016-05,53
2016-06,53
2016-07,51
2016-08,58
2016-09,69
2016-10,64
2016-11,66
2016-12,63
2017-01,78
2017-02,80
2017-03,84
2017-04,83
2017-05,84
2017-06,82
2017-07,82
2017-08,90
2017-09,100
